"統計名：","人口推計 各年10月1日現在人口 令和２年国勢調査基準 統計表"
"表番号：","004"
"表題：","都道府県，男女別人口及び人口性比－総人口，日本人人口"
"実施年月：","-","-"
"市区町村時点（年月日）：","-"

"***","該当数値がないもの"
"-","該当数値がないもの　"

"","","","","/人口 コード","001","001","001","001","002","002","002","002"
"","","","","/人口","総人口","総人口","総人口","総人口","日本人人口","日本人人口","日本人人口","日本人人口"
"","","","","/男女別・性比 コード","001","002","003","004","001","002","003","004"
"時間軸（年月日現在） コード","時間軸（年月日現在）","全国・都道府県 コード","全国・都道府県","/男女別・性比","男女計【千人】","男【千人】","女【千人】","人口性比【女性＝100】","男女計【千人】","男【千人】","女【千人】","人口性比【女性＝100】"
"1701","2022年10月1日現在","00000","全国","","124,947","60,758","64,189","94.7","122,031","59,314","62,717","94.6"
"1701","2022年10月1日現在","01000","北海道","","5,140","2,427","2,714","89.4","5,098","2,407","2,692","89.4"
"1701","2022年10月1日現在","02000","青森県","","1,204","568","636","89.2","1,198","565","633","89.4"
"1701","2022年10月1日現在","03000","岩手県","","1,181","570","611","93.3","1,173","566","606","93.4"
"1701","2022年10月1日現在","04000","宮城県","","2,280","1,112","1,168","95.2","2,256","1,100","1,156","95.2"
"1701","2022年10月1日現在","05000","秋田県","","930","439","491","89.5","926","438","488","89.6"
"1701","2022年10月1日現在","06000","山形県","","1,041","505","536","94.1","1,033","502","532","94.3"
"1701","2022年10月1日現在","07000","福島県","","1,790","884","906","97.6","1,776","878","898","97.7"
"1701","2022年10月1日現在","08000","茨城県","","2,840","1,418","1,422","99.7","2,767","1,380","1,387","99.5"
"1701","2022年10月1日現在","09000","栃木県","","1,909","952","956","99.6","1,865","930","934","99.6"
"1701","2022年10月1日現在","10000","群馬県","","1,913","947","966","98.0","1,850","914","936","97.7"
"1701","2022年10月1日現在","11000","埼玉県","","7,337","3,643","3,694","98.6","7,136","3,542","3,594","98.5"
"1701","2022年10月1日現在","12000","千葉県","","6,266","3,104","3,162","98.2","6,100","3,024","3,076","98.3"
"1701","2022年10月1日現在","13000","東京都","","14,038","6,889","7,149","96.4","13,443","6,595","6,848","96.3"
"1701","2022年10月1日現在","14000","神奈川県","","9,232","4,579","4,653","98.4","8,991","4,459","4,531","98.4"
"1701","2022年10月1日現在","15000","新潟県","","2,153","1,046","1,107","94.5","2,136","1,039","1,097","94.7"
"1701","2022年10月1日現在","16000","富山県","","1,017","495","522","94.8","998","485","513","94.6"
"1701","2022年10月1日現在","17000","石川県","","1,118","543","575","94.4","1,102","534","568","94.1"
"1701","2022年10月1日現在","18000","福井県","","753","368","385","95.6","738","361","377","95.8"
"1701","2022年10月1日現在","19000","山梨県","","802","394","408","96.6","784","385","398","96.7"
"1701","2022年10月1日現在","20000","長野県","","2,020","988","1,032","95.7","1,984","971","1,012","95.9"
"1701","2022年10月1日現在","21000","岐阜県","","1,946","945","1,001","94.4","1,888","916","972","94.3"
"1701","2022年10月1日現在","22000","静岡県","","3,582","1,766","1,816","97.3","3,484","1,718","1,766","97.3"
"1701","2022年10月1日現在","23000","愛知県","","7,495","3,734","3,761","99.3","7,228","3,601","3,627","99.3"
"1701","2022年10月1日現在","24000","三重県","","1,742","851","891","95.6","1,689","824","865","95.3"
"1701","2022年10月1日現在","25000","滋賀県","","1,409","695","714","97.4","1,373","676","697","96.9"
"1701","2022年10月1日現在","26000","京都府","","2,550","1,217","1,333","91.3","2,485","1,185","1,300","91.1"
"1701","2022年10月1日現在","27000","大阪府","","8,782","4,202","4,580","91.7","8,524","4,074","4,450","91.5"
"1701","2022年10月1日現在","28000","兵庫県","","5,402","2,567","2,835","90.5","5,287","2,510","2,777","90.4"
"1701","2022年10月1日現在","29000","奈良県","","1,306","614","691","88.9","1,291","607","684","88.8"
"1701","2022年10月1日現在","30000","和歌山県","","903","426","477","89.2","896","423","473","89.3"
"1701","2022年10月1日現在","31000","鳥取県","","544","260","284","91.7","539","258","281","92.0"
"1701","2022年10月1日現在","32000","島根県","","658","318","340","93.8","648","314","334","93.8"
"1701","2022年10月1日現在","33000","岡山県","","1,862","896","966","92.7","1,832","881","951","92.6"
"1701","2022年10月1日現在","34000","広島県","","2,760","1,338","1,422","94.1","2,708","1,312","1,396","94.0"
